Disease,Anatomy,Surgery,Medicine,Composition,Cause,Complication,Diagnosis,Precaution,Riskfactor,Symptom
Anemia,,,"ferrous sulfate, ","Calcium phosphate, cellulose, croscarmellose sodium, FD&C red #40, hypromellose, magnesium stearate, ","Iron deficiency, Vitamin deficiency, deficiency of red blood cells, ","Extreme fatigue, Pregnancy complications, Heart problems, Death, ",", Hematocrit, Blood count, Blood analysis","consuming iron-rich foods such as fish, poultry, eggs, meat, peas, beans, lentils, and potatoes, ","Family history, A diet lacking in certain vitamins and minerals, Intestinal disorders, Pregnancy, ",
Aneurysms,,,,,,,Angiography,,,
Ankylosing spondylitis,,,"immunosuppressive drug, steroid","calcineurin inhibitors, interleukin inhibitors, selective immunosuppressants, TNF alfa inhibitors, 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Avoid Alcohol, Get Plenty of Calcium and Vitamin D, Practice Good Posture, exercise","Late adolescence or early adulthood, being man, family history",
Anthrax,,,"antibiotics, isoniazid",,,,,"Avoid touching a contaminated surface, avoid contact of ill person, prevent animal bites","Handle animal skins, furs, Work with anthrax in a laboratory, Inject illegal drugs",
Anxiety disorders,,,"sedative, selective serotonin reuptake inhibitors, ssris","barbiturates, benzodiazepines, gamma-hydroxybutyrate (GHB)",,,,"Avoid coffee, tea, cola and chocolate, xercise daily and eat a healthy, balanced diet","Trauma, Stress due to an illness, Other mental health disorders, family history",
Aplastic anemia,,,,,,,Bone marrow aspiration,,,
Arthritis,,,steroid,"17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Exercise, use hot and cold therapy, try acupuncture, massage","Family history, Previous joint injury, older age, being woman, obesity","muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking"
Ascariasis,,,consult doctor,,,,,"Avoid ingesting soil that may be contaminated with human or pig feces, washing hands before food","Children likely to play in dirt, Poor sanitation",
Asthma,,,"albuterol, levalbuterol, metaproterenol sulfate, ","Albuterol sulfate USP, 0.31 mg levalbuterol, 0.63 mg levalbuterol, 150 mg metaproterenol sulfate, micronized powder, inert propellants, ",,,", Respiratory test, Pulmonary function test","switch to loose clothing, take deep breaths, get away from trigger, seek help, ","Wheezing when exhaling,Shortness of breath,Chest tightness or pain, ",
Autism,,,consult doctor,,,,,"Live healthy. Have regular check-ups, eat well-balanced meals, and exercise","Family history, being a boy, Other disorders, Extremely preterm babies, older parents at birth of child",
Autoimmune diseases,,,,,,,Serological test,,,
Autoimmune disorders,,,,,,,Immunologic blood test,,,
Back pain,,,,,"Muscle or ligament strain, Bulging or ruptured disks, Arthritis, Osteoporosis","difficulties in movement, sitting, complications in daily activities",,,,
Bile duct disorders,,,,,,,Endoscopic retrograde cholangiopancreatography,,,
Bird flu,,,"oseltamivir, tamiflu",,,,,"Use different utensils for cooked and raw meat, cook meat fully, avoid contact with live poultry","contact with sick birds or with surfaces contaminated by their feathers, saliva or droppings",
Bladder infections,,,,,,,Uroscopy,,,
Bladder stones,,,consult doctor,,"Prostate gland enlargement, Damaged nerves, Kidney stones","Chronic bladder problems, Urinary tract infections",,"Drink plenty of fluids, especially water","Nerve damage. Stroke, spinal cord injuries, Parkinson's disease, diabetes, being man",
Blocked blood vessels,,,,,,,Angiography,,,
Blood disorders,,,,,,,"Blood count, Cellular and chemical analysis",,,
Blood flow abnormalities,,,,,,,Perfusion scan,,,
Blood transfusion compatibility,,,,,,,Blood typing,,,
Brain Hemorrhage,,,,,,,,,,"vomiting, headache, weakness of one body side, altered sensorium"
Brain abnormalities,,,,,,,Pneumoencephalography,,,
Brain aneurysms,,,,,,,Cerebral angiography,,,
Brain disorders,,,,,,,"Single photon emission computed tomography (SPECT scan), Positron emission tomography (PET scan)",,,
Brain function mapping,,,,,,,Functional magnetic resonance imaging (fMRI),,,
Brain hemorrhage,,,antihypertensive drug,,,,,"Don't smoke,Don't use drugs,Investigate corrective surgery","Smoking, excessive alcohol, hypocholesterolemia, drugs, Old age, male sex, chronic kidney disease",
Brain lesions,,,,,,,Echoencephalography,,,
Brain mapping,,,,,,,Magnetoencephalography,,,
Brain tumors,,,,,,,"Magnetic resonance spectroscopy, Magnetic resonance imaging (MRI), Brain scanning",,,
Breast abnormalities,,,,,,,Mammography,,,
Breast cancer screening,,,,,,,Mammography,,,
Breast cysts,,,consult doctor,,,,,No precaution,Having HRT can increase the risk of developing new cysts.,
Bronchial Asthma,,,,,,,,,,"fatigue, cough, high fever, breathlessness, family history, mucoid sputum"
Bronchitis,,,analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"Don't smoke, Wash your hands frequently, wear mask in a large crowd, Avoid contacting ill people","Cigarette smoke, Gastric reflux, Exposure to irritants on the job, weak immunity",
Cancer,,,,,"gene mutations, Fail to stop uncontrolled cell growth, mistakes when repairing DNA errors","Pain, Fatigue, Difficulty breathing, Nausea, Diarrhea or constipation, Weight loss, Chemical changes in your body, Brain and nervous system problems, Unusual immune system reactions to cancer, Cancer that spreads",,,,
Cancer diagnosis,,,,,,,"Cellular and chemical analysis, Biopsy",,,
Cancer staging,,,,,,,Positron emission tomography (PET scan),,,
Cardiac conditions,,,,,,,Single photon emission computed tomography (SPECT scan),,,
Cardiac output,,,,,,,Ballistocardiography,,,
Cardiomyopathy,,,,,,,Cardiac magnetic resonance imaging,,,
Carrier screening,,,,,,,Genetic testing,,,
Cause of death determination,,,,,,,Autopsy,,,
Celiac disease,,,,,,,Malabsorption test,,,
Cerebral palsy,,,sedative,"barbiturates, benzodiazepines, gamma-hydroxybutyrate (GHB)",,,,"Making sure child is vaccinated,Using proper car seat, Using crib with bed rail, Never shake a baby","Low birth weight, severe or untreated jaundice, Premature birth, Viral encephalitis, Toxoplasmosis",
Cervical Spondylosis,,,"analgesic, nonsteroidal anti-inflammatory drugs, nsaids","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,,,
Cervical abnormalities,,,,,,,Colposcopy,,,
Cervical cancer,,,,,,,Pap smear,,,
Cervical cancer screening,,,,,,,"Colposcopy, Gynecological examination",,,
Cervical spondylosis,,,,,,,,"use heating pad or cold pack,exercise,take otc pain reliever,consult doctor","Older age, stress on your neck, Neck injuries, Genetic factors, Smoking","back pain, weakness in limbs, neck pain, dizziness, loss of balance"
Chicken pox,,,"analgesic, antihistamine","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone, Brompheniramine, Cetirizine, Chlorpheniramine, Brompheniramine (Dimetane)",,,,"Use neem in bathing, consume neem leaves, take vaccine, avoid public places",People who haven't already had chickenpox.,
Chickenpox,"arms, back, chest, face, legs, scalp, skin","Nuss procedure, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy",,,,,,,,"itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, red spots over body"
Chikungunya,,,analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"Prevent mosquito bites, Use insect repellent, wear long-sleeved shirts and pants","Older age, people with underlying medical conditions, such as hypertension, diabetes, or heart disease",
Chlamydia,,,"antibiotics, isoniazid",,,,,"Use condom during sexual intercourse, have sexually monogamous partner with no infection","Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD",
Cholera,"alimentary canal, small intestine",,"antibiotics, isoniazid",,,,,"Drink safe water, Wash your hands often with soap, Use toilets, use safe water for cooking","Poor sanitary conditions, Reduced or nonexistent stomach acid, Type O blood, undercooked shellfish",
Chromosomal abnormalities,,,,,,,"Fluorescence in situ hybridization (FISH), Prenatal testing",,,
Chronic Cholestasis,,,"udca, ursodeoxycholic acid",,,,,,,"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Chronic bronchitis,,,,,,,Pulmonary function test,,,
Chronic cholestasis,,,,,,,,"Cold baths, anti itch medicine, consult doctor, eat healthy","infections from viruses such as HIV, hepatitis, cytomegalovirus",
Chronic cough,,,,,"Postnasal drip, Asthma, Gastroesophageal reflux disease (GERD), Infections, Chronic obstructive pulmonary disease (COPD), Blood pressure drugs, Bronchiectasis, Idiopathic pulmonary fibrosis, Sarcoidosis, Cystic fibrosis","Sleep disruption, Headache, Dizziness, Vomiting, Excessive sweating, Loss of bladder control, urinary incontinence, Fractured ribs, Passing out, syncope",,,,
Chronic obstructive pulmonary disease (COPD),,,,,,,Respiratory test,,,
Cirrhosis,,,"antibiotics, antiviral drugs, isoniazid, ",,,,", Thymol turbidity","Don't abuse alcohol,Avoid high-risk sexual behavior,Get vaccinated against hepatitis B,low-fat diet, ","Excessive alcohol consumption, Having viral hepatitis, obesity, ",
Cirrhosis),,,,,,,Liver function test,,,
Cognitive disorders,,,,,,,Functional magnetic resonance imaging (fMRI),,,
Common Cold,"nose, sinuses, throat, trachea, windpipe",,"analgesic, nasal decongestants","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone, decongestants, pseudoephedrine, phenylephrine",,,,"drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check","Children younger than 6, weakened immune system, Smoking","continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain"
Congenital heart defects,,,,,,,"Angiocardiography, Echocardiography",,,
Conjunctivitis,,,consult doctor,,,,,"Avoid touching your eyes with unwashed hands, Do not share items used by an infected person","Using contact lenses, Exposure to something for which you have an allergy",
Coronary artery disease,,,,,,,"Angiocardiography, Cardiac catheterization",,,
Crohn's disease,,,,,,,Malabsorption test,,,
Cystic fibrosis,,,"antibiotics, isoniazid, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,,"Appropriate hand hygiene, build up immunity","Family history, it is most common in white people",
DNA repair deficiencies,,,,,,,Complementation test,,,
Dehydration,,,,,,,Hematocrit,,,
Dementia,,,consult doctor,,,,,"Balanced diet, exercising regularly, stopping smoking, keeping alcohol within recommended limits","Depression, smoking, Diabetes, Sleep apnea, Down syndrome, Family history, Heavy alcohol use",
Dengue,,,analgesic,"Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated","Living or traveling in tropical areas, Prior infection with a dengue fever virus","skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body"
Depression,,,"selective serotonin reuptake inhibitors, ssris",,,,,"Handle stress, improve your self-esteem, Get enough sleep, eat well, and exercise regularly","Certain traits, Traumatic events, family history, alcoholism or suicide, intersex, chronic illness",
Diabetes,,,"dpp-4 inhibitors, glp-1 receptor agonists, insulin, meglitinides, metformin, sglt2 inhibitors, sulfonylureas, thiazolidinediones, ","a class of oral hypoglycemics that block the enzyme dipeptidyl peptidase-4, 30 or 31 amino acid long peptide hormone, two peptide chains, A chain, B chain, belonging to the meglitinide class of antidiabetic agents with hypoglycemic activity, a refined herbal medicine derived from a flower called French lilac, rosiglitazone and pioglitazone (Actos), canagliflozin, dapagliflozin, empagliflozin, a central S-aryl sulfonylurea structure with a p-substituent on the phenyl ring, potent, synthetic ligands, peroxisome proliferator, activated receptor, gamma activation, ","unhealthy diets, genetic, Overweight, obesity, physical inactivity, Insulin resistance, Genes, family history, Genetic mutations, Hormonal issues, ","Heart disease, cardiovascular disease, Nerve damage, Kidney damage, Eye damage, Foot damage, Skin and mouth conditions, Hearing impairment, Alzheimer's disease, Excess growth, Preeclampsia, ",", Glucose tolerance test","have balanced diet,exercise,consult doctor,follow up, ","coronary artery disease with chest pain, heart attack, stroke and narrowing of arteries, ","fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria, "
Digestive system disorders,,,,,,,Endoscopy,,,
Dimorphic Hemmorhoids,,,,,,,,,,"constipation, pain during bowel movements, pain in anal region, bloody stool, irritation in anus"
Diphtheria,"bones, finger, heart, mouth, proximal phalanges, throat, upper respiratory tract","Uvulopalatoplasty, Palatoplasty, Gingivectomy, Glossectomy, Esophagectomy, Gastrectomy, Appendectomy, Proctocolectomy, Colectomy, Hepatectomy, Cholecystectomy, Pancreatectomy, Pancreaticoduodenectomy, Gastrostomy, Percutaneous endoscopic gastrostomy, Gastroduodenostomy, Gastroenterostomy, Ileostomy, Jejunostomy, Colostomy, Cholecystostomy, Hepatoportoenterostomy, Sigmoidostomy, Uvulotomy, Myotomy, Heller myotomy, Pyloromyotomy, Anal sphincterotomy, Lateral internal sphincterotomy, Vertical banded gastroplasty, Gastropexy, Colon resection, Nissen fundoplication, Hernia repair, Omentopexy, Liver biopsy","antibiotics, isoniazid, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,,Prevent contact with infected persons,"People living in unsanitary conditions, anyone who tours where diphtheria infections are more common",
Diphtheria immunity assessment,,,,,,,Schick test,,,
Disease research,,,,,,,Autopsy,,,
Down syndrome,,,"consult doctor, ",,,,", Prenatal testing, Amniocentesis","No precaution, ","Family history, ",
Drug Allergy,,,"antihistamine, steroid","Brompheniramine, Cetirizine, Chlorpheniramine, Brompheniramine (Dimetane), 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,,,
Drug Reaction,,,,,,,,,,"itching, skin rash, stomach pain, burning micturition, spotting  urination"
Drug allergy,,,,,,,,"Stop irritation, consult nearest hospital, stop taking drug and follow up","History of food allergy or hay fever, history of drug allergy, Increased exposure to a drug",
Drug overdose,,,,,,,Toxicology test,,,
Dysentery,"abdominal, alimentary canal, colon, ileum, intestine, stomach",Diverticulectomy,,,,,,,,
E. coli Infection,,,consult doctor,,,,,"Wash hands, cutting boards, utensils after they touch raw meat. Avoid raw milk, unpasteurized dairy","Weakened immune systems, Eating certain types of food, being non vegetarian",
ENT disorders,,,,,,,Nasopharyngolaryngoscopy,,,
Ebola,"liver, lymph nodes, spleen",,,,,,,,,
Ectopic pregnancy,,,,,,,Pregnancy test,,,
Eczema,,,"antihistamine, steroid","Brompheniramine, Cetirizine, Chlorpheniramine, Brompheniramine (Dimetane), 17 carbon atom, bonded in 4 fused ring, 3 6-member cyclohexane ring",,,,"Establish a skin care routine, Use mild soap, use gloves if job requires hands in water","Family history of eczema, allergies, hay fever or asthma",
Encephalitis,,,,,,,Lumbar puncture,,,
Endometriosis,,,,,,,Laparoscopy,,,
Enzyme deficiencies,,,,,,,Enzyme analysis,,,
Epilepsy,,,"lyrics, pregabalin, ",,,,", Magnetoencephalography, Electroencephalography (EEG)","Take frequent breaks, drink lots of water, Wear protective clothing, Avoid busy streets when riding, ","Family history, Family history, Stroke and other vascular diseases, Dementia, Brain infections, ",
Esophageal disorders,,,,,,,Esophagogastroduodenoscopy (EGD),,,
Evaluation and diagnosis of various diseases and conditions,,,,,,,Diagnostic procedures,,,
Fibromyalgia,,,"analgesic, selective serotonin reuptake inhibitors, ssris","Acetaminophen, salicylates, opioid drugs, morphine, oxycodone",,,,"Get adequate sleep, Reduce emotional and mental stress, Get regular exercise, Eat a balanced diet","Family history, being woman, osteoarthritis, rheumatoid arthritis or lupus",
Fluid accumulation assessment,,,,,,,Percussion,,,
Food Poisoning,"colon, small intestine, stomach",,,,,,,,,
Food allergy,,,,,,,,"Apply calamine, cover area with bandage, use ice to compress itching","Atopic dermatitis, Family history, hay fever",
Fungal Infection,,,"antifungal cream, antifungal liquids, antifungal sprays","clotrimazole, econazole, ketoconazole, miconazole, tioconazole, terbinafine, amorolfine",,,,"Bath twice, use dettol or neem in bathing water, keep infected area dry, use clean cloths","Colonization, broad-spectrum antibiotics, indwelling central catheter","itching, skin rash, nodal skin eruptions, dischromic patches"
GERD,,,"antacid, antidiarrhoeal, proton-pump inhibitor","calcium carbonate, magnesium hydroxide, aluminum hydroxide, sodium bicarbonate, chloroform, methanol, aqueous extracts of Bidens odorata Cav, esomeprazole, Iansoprazole, omeprazole, pantoprazole  rabeprazole","frequent acid reflux, reflux of nonacidic content from stomach","Inflammation of the tissue in the esophagus, esophagitis, Narrowing of the esophagus, esophageal stricture, Precancerous changes to the esophagus, Barrett esophagus",,"Avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","Obesity, Connective tissue disorders, such as scleroderma","stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain"
Gallbladder disorders,,,,,,,Cholecystography,,,
Gallstones,,,", statin",", Levacor, Zocor, Pravachol, Lipitor, Crestor",,,"Cholecystography, ",", Eat more food that is high in fiber, fewer refined carbohydrates, less sugar, Avoid unhealthy fat",", Sickle cell anemia or leukemia, Family history, being woman, diabetes, Being pregnant",
Gastric cancer,,,,,,,Gastric fluid analysis,,,
Gastritis,,,"antibiotics, isoniazid, penicillin, ","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg, ",,,", Gastric fluid analysis","Avoid known trigger foods, quit smoking, manage stress, avoiding alcohol, maintain healthy weight, ","Excessive alcohol use, Stress, Older age, Bacterial infection, vitamin B-12 deficiency, ",
Gastroenteritis,"colon, small intestine, stomach",,"imodium, pepto-bismol","loperamide hydrochloride, 4-p-chlorophenyl-4-hydroxy-N, N-dimethyl-a, flavor, magnesium aluminum silicate, methylcellulose, saccharin sodium",,,,"stop eating solid food for while, try taking small sips of water, rest, ease back into eating",measles and immunodeficiencies put the patient at a higher risk for a gastrointestinal,"vomiting, sunken eyes, dehydration, diarrhoea"
Gastrointestinal bleeding,,,,,,,Endoscopy,,,
General health,,,,,,,Physical and visual examination,,,
Genetic abnormalities,,,,,,,Prenatal testing,,,
Genetic diseases,,,,,,,Fluorescence in situ hybridization (FISH),,,
Genetic disorders,,,,,,,"Genetic testing, Prenatal testing, Complementation test, Amniocentesis",,,
Genetic screening of embryos,,,,,,,Preimplantation genetic diagnosis,,,
Gestational diabetes,,,,,,,Glucose tolerance test,,,
Giardiasis,,,"antibiotics, isoniazid",,,,,"Practice good hygiene, Avoid contaminated water,eating contaminated food, Prevent contact with feces","Children, People without access to safe drinking water, rural or wilderness areas",
Glomerular filtration rate,,,,,,,Inulin clearance,,,
Gonorrhoea,"cervix, eye, mucous membranes, rectum, reproductive organs, throat, urethra, urinogenital tract","Punctoplasty, Trabeculoplasty, Photorefractive keratectomy, Trabeculectomy, Iridectomy, Vitrectomy, Dacryocystorhinostomy, Radial keratotomy, Mini Asymmetric Radial Keratotomy, Corneal transplantation, Hemorrhoidectomy","antibiotics, isoniazid",,,,,"Use condom during sexual intercourse, have sexually monogamous partner with no infection","Having a sex partner with multiple partners, Having multiple sex partners, Having had another STD",
Gout,,,"antibiotics, isoniazid",,,,,"Limit the intake of alcohol, fat, lose weight, Eat more complex carbohydrates, drink lots of water","High levels of uric acid, Alcohol consumption, Obesity, high BP, chronic condition, being man",
HIV,"brain, immune system, skin, spinal cord","Hypnosurgery, V-plasty, VY-plasty, W-plasty, Z-plasty, Escharotomy, Skin biopsy",,,"virus, sexual contact, illicit injection drug use or sharing needles, contact with infected blood, or from mother to child during pregnancy, childbirth, breastfeeding","Pneumocystis pneumonia (PCP), Candidiasis (thrush), Tuberculosis (TB), Cytomegalovirus, Cryptococcal meningitis, Toxoplasmosis, Lymphoma, Kaposi's sarcoma, Wasting syndrome, Neurological complications, Kidney disease, Liver disease",,,,
Heart Attack,,,,,,,,,,"vomiting, breathlessness, sweating, chest pain"
Heart abnormalities,,,,,,,Cardiac magnetic resonance imaging,,,
Heart and lung sound evaluation,,,,,,,Auscultation,,,
Heart attack,,,"intravenous, ","water, electrolytes, glucose, albumin, blood product isotonic, hypotonic, hypertonic, ",,,", Electrocardiography (ECG/EKG)","Eat a healthy diet, Get regular exercise, Limit alcohol, Don't smoke, Manage stress, ","Tobacco, old age, High blood cholesterol, Obesity, Diabetes, Stress, An autoimmune condition, ",
Heart diseases,,,,,,,Cardiovascular diagnostic,,,
Heart function assessment,,,,,,,Ballistocardiography,,,
Heart rhythm abnormalities,,,,,,,Electrocardiography (ECG/EKG),,,
Heart sound abnormalities,,,,,,,Phonocardiography,,,
Heart valve abnormalities,,,,,,,Echocardiography,,,
Heart valve conditions,,,,,,,Cardiac catheterization,,,
Hemophilia,,,,,,,Blood analysis,,,
Hepatitis,,,,,,,Thymol turbidity,,,
Hepatitis A,,,consult doctor,,,,,"wearing of latex gloves when handling faeces, urine, saliva, and blood","Travel in areas where hepatitis A is common, have a clotting-factor disorder, such as hemophilia","joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain"
Hepatitis B,,,,,,,,,,"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections"
Hepatitis C,,,,,,,,,,"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, family history"
Hepatitis D,,,,,,,,,,"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes"
Hepatitis E,,,,,,,,,,"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding"
Hepatitis),,,,,,,Serological test,,,
Herniated discs,,,,,,,Myelography,,,
Herpes,,,"oseltamivir, tamiflu",,,,,"Always use condoms and dental dams during oral, anal, and vaginal sex","Having multiple sexual partners, being woman, having sex during a herpes outbreak",
Human papillomavirus (HPV) infection,,,,,,,Pap smear,,,
Hydrocephalus,,,,,,,"Pneumoencephalography, Echoencephalography",,,
Hyperhidrosis,,,,,"Diabetes, Menopause hot flashes, Thyroid problems, Some types of cancer, Nervous system disorders, Infections","skin infections, clammy, dripping hands",,,,
Hypertension,,,", acebutolol, benazepril, lotensin, sectral",,,,"Cardiovascular diagnostic, ",", meditation,salt baths,reduce stress,get proper sleep",", Diabetes, Unhealthy Diet, Obesity, Excessive Alcohol, Tobacco Use, Family History, high BP",", headache, chest pain, dizziness, loss of balance, lack of concentration"
Hypoglycemia,,,levothyroxine,"L-thyroxine , levothyroxine , 51-48-9 , thyroxine , thyroxin",,,,"Lie down on side, check in pulse, drink sugary drinks","Taking too much insulin, skipping a meal, or exercising harder than usual","vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations"
Hypothyroidism,,,levothyroxine,"L-thyroxine , levothyroxine , 51-48-9 , thyroxine , thyroxin",,,,"Reduce stress, exercise, eat healthy, get proper sleep","Woman, older age, family history of thyroid, autoimmune disease, Received radiation to your neck","fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation"
Hypothyroidism),,,,,,,"Protein-bound iodine test, Thyroid function test",,,
Imaging for various organs and systems,,,,,,,Tomography,,,
Impetigo,,,"antibiotics, isoniazid, penicillin","Penicillin 30, VK, Penicillin V, Potassium Tablets USP 250 mg",,,,"Wash your hands often with soap and water, use alcohol hand rubs, Do not share personal items","Diabetes, weakened immune system, children ages 2 to 5, Crowded conditions, Broken skin","skin rash, high fever, blister, red sore around nose, yellow crust ooze"
Infant reflux,,,,,"Pyloric stenosis, Food intolerance, Eosinophilic esophagitis, Sandifer syndrome",GERD,,,,
Infections,,,,,,,Blood count,,,
Infectious diseases (such as HIV,,,,,,,Serological test,,,
Infertility,,,,,,,Semen analysis,,,
Influenza,"lungs, nose, respiratory system, throat",,,,,,,,,
